,string,frequencyOfMention,kind
25,Developer,73,topic
73,UX,57,tool
41,Security,35,topic
40,Big Data,33,topic
42,Hardware,33,topic
74,Akka,33,tool
23,Design,31,topic
20,UI,29,topic
27,Development,17,topic
70,Java Script,15,tool
21,Testing,11,topic
68,CSS,10,tool
76,HTML5,8,tool
34,Marketing,6,topic
26,Web Applications,5,topic
57,Angular,5,product
78,React,5,tool
58,Adobe,5,product
1,Git Hub,4,tool
67,HTML,4,tool
35,Responsive Design,4,topic
7,Photoshop,4,tool
71,j Query,4,tool
72,PHP,4,tool
18,Scrum,4,topic
44,Software Development,3,topic
2,CSS3,3,tool
3,Sass,3,tool
10,Git,3,tool
47,LeSS,3,topic
33,Computer Science,3,topic
31,Prototype,3,topic
59,Linux,2,product
46,Project Management,2,topic
53,Relational Database,2,topic
69,OWASP,2,tool
65,NPM,2,product
64,Hibernate,2,product
48,Version Control,2,topic
39,Software Engineer,2,topic
36,Front End,2,topic
37,Automation,2,topic
19,Agile,2,topic
30,Wireframing,2,topic
29,Programming,2,topic
5,Wordpress,2,tool
14,Java,2,tool
11,AJAX,2,tool
38,Continuous Integration,1,topic
13,C,1,tool
16,Spring,1,tool
15,Gulp,1,tool
66,Bower,1,product
9,Swift,1,tool
12,UML,1,tool
62,Cocoa Touch,1,product
8,Web Socket,1,tool
6,Selenium,1,tool
75,HTTP,1,tool
4,Drupal,1,tool
77,API,1,tool
63,.Net,1,product
17,Maven,1,tool
61,Windows,1,product
60,GO,1,product
22,Analytics,1,topic
56,Networking,1,topic
55,Database Administration,1,topic
54,Database,1,topic
24,Product Management,1,topic
52,Unit Testing,1,topic
51,TDD,1,topic
50,BDD,1,topic
49,Monitoring,1,topic
28,Architect,1,topic
45,Backend,1,topic
32,Dev Ops,1,topic
43,Analysis,1,topic
0,Node.js,1,tool
24,Developer,91,topic
4,UX,52,tool
25,Security,44,topic
11,Akka,44,tool
26,Hardware,44,topic
23,Big Data,44,topic
27,UI,9,topic
31,Design,7,topic
36,Development,4,topic
0,Angular,4,product
5,Git,4,tool
13,CSS,3,tool
34,Continuous Integration,2,topic
8,Java Script,2,tool
12,Type Script,2,tool
38,Programming,2,topic
44,Front End,2,topic
39,Version Control,2,topic
35,Product Management,1,topic
2,Docker,1,product
37,TDD,1,topic
40,Analytic,1,topic
10,Java,1,tool
41,Visualization,1,topic
33,Automation,1,topic
43,Full Stack,1,topic
45,Web Applications,1,topic
46,Responsive Design,1,topic
47,Unit Testing,1,topic
48,Agile,1,topic
49,Scrum,1,topic
42,Analysis,1,topic
30,Database,1,topic
32,Testing,1,topic
3,Linux,1,product
14,Sass,1,tool
15,Jasmine,1,tool
16,Jira,1,tool
17,HTML,1,tool
18,Wordpress,1,tool
19,Swift,1,tool
20,Kafka,1,tool
21,Zero MQ,1,tool
22,Rabbit MQ,1,tool
7,CSS3,1,tool
1,Cocoa Touch,1,product
6,HTML5,1,tool
28,Functional Programming,1,topic
29,User Interface,1,topic
9,Nodejs,1,tool
50,Project Management,1,topic
10,Developer,30,topic
2,UX,16,tool
12,Security,16,topic
11,Hardware,14,topic
1,Akka,14,tool
13,Big Data,14,topic
18,Design,4,topic
14,Web Applications,2,topic
21,UI,2,topic
20,SDLC,2,topic
19,Agile,2,topic
17,Backend,2,topic
16,Full Stack,2,topic
15,Architect,2,topic
0,Angular.js,2,product
9,API,2,tool
8,HTTPS,2,tool
7,CSS,2,tool
6,DOM,2,tool
5,Java Script,2,tool
4,HTML,2,tool
3,Node.js,2,tool
22,Programming,1,topic
